id,startTime,origin,destination,totalPower,minimumCapacity,chargeLevelInterval,optimizedCost,optimizedCostDuration,optimizedDuration,optimizedDurationFinancialCost,endTime,error
f3eed27de2f,1684487402321,"{""latitude"":59.188956929696936,""longitude"":13.37990992066616}","{""latitude"":59.94046649336293,""longitude"":13.66976377577871}",9245.573058761674,43,50,0.0,5699.999999999998,5699.999999999998,0.0,1684487461279,
e50030aca2d,1684487461302,"{""latitude"":60.23301952977527,""longitude"":13.528501890416917}","{""latitude"":59.60549803405616,""longitude"":16.779537207301857}",28294.802205883614,43,50,,,,,1684487650186,
8b04265f66d,1684487650236,"{""latitude"":59.74999614778409,""longitude"":15.258122033304417}","{""latitude"":56.75573491879138,""longitude"":15.44271398007956}",41585.57449865991,43,50,,,,,,
c961b63aa5f,1684489081631,"{""latitude"":55.887033121156385,""longitude"":13.07646570727141}","{""latitude"":60.14050023753482,""longitude"":13.125343360792014}",68059.78613348745,43,50,,,,,,
fbdc3f71999,1684490882000,"{""latitude"":59.74999614778409,""longitude"":15.258122033304417}","{""latitude"":56.75573491879138,""longitude"":15.44271398007956}",41585.57449865991,43,50,,,,,,
1c286374879,1684492141540,"{""latitude"":55.887033121156385,""longitude"":13.07646570727141}","{""latitude"":60.14050023753482,""longitude"":13.125343360792014}",68059.78613348745,43,50,,,,,,
7cf0d941f8c,1684493941532,"{""latitude"":57.270541766636185,""longitude"":12.2050238209794}","{""latitude"":58.784857594028765,""longitude"":12.307911126803631}",21958.27330276957,43,50,33.72302335875552,13100.920214012243,,,,
9651f0837a5,1684495802178,"{""latitude"":56.20215923508973,""longitude"":12.983631445447251}","{""latitude"":58.80703182441907,""longitude"":14.898160342489717}",49457.561135800075,43,50,198.489465897284,22752.951235061948,,,,
1f6e2787162,1684497301761,"{""latitude"":57.270541766636185,""longitude"":12.2050238209794}","{""latitude"":58.784857594028765,""longitude"":12.307911126803631}",21958.27330276957,43,50,33.72302335875552,13100.920214012243,,,,
7fe50fb89b0,1684499162381,"{""latitude"":56.20215923508973,""longitude"":12.983631445447251}","{""latitude"":58.80703182441907,""longitude"":14.898160342489717}",49457.561135800075,43,50,198.489465897284,22752.951235061948,,,,
61f59221fca,1684500662528,"{""latitude"":60.22496113987268,""longitude"":13.522888467415921}","{""latitude"":59.31347949252361,""longitude"":17.80737661252474}",40011.085657109346,43,50,,,,,1684501003677,
a84de0f6916,1684501004360,"{""latitude"":59.807798054943845,""longitude"":12.24241062399057}","{""latitude"":56.94257375632424,""longitude"":15.200703302220234}",55660.93077462446,43,50,,,,,,
edffa6e058b,1684502581710,"{""latitude"":56.98755558723169,""longitude"":13.758414400055779}","{""latitude"":59.90824333351126,""longitude"":18.589546213747617}",67622.08610298806,43,50,,,,,,
c463968ffb3,1684503962280,"{""latitude"":58.957502738756915,""longitude"":13.52913424093535}","{""latitude"":59.65646582511172,""longitude"":17.16456970557571}",38918.59930384169,43,50,,,,,1684504163017,
ffb35c527c8,1684504163089,"{""latitude"":59.30003550851638,""longitude"":14.539020844894765}","{""latitude"":55.724761927705615,""longitude"":13.480376272861076}",62366.11325619472,43,50,,,,,,
9a6b43582df,1684505761932,"{""latitude"":57.061121950302,""longitude"":14.424548411205318}","{""latitude"":59.59455442499633,""longitude"":12.566172623526247}",47996.680097570956,43,50,,,,,,
b4e802d0330,1684506961747,"{""latitude"":57.39147566531539,""longitude"":13.043699664431337}","{""latitude"":60.16903750971008,""longitude"":13.035477734738114}",40962.40555408868,43,50,,,,,1684507133188,
6cc0594c5f1,1684507133260,"{""latitude"":58.86945997637765,""longitude"":15.0022203047928}","{""latitude"":56.44506315196795,""longitude"":14.619086959168023}",40958.67894509696,43,50,,,,,,
c437bcd03a3,1684508762243,"{""latitude"":56.92963275498034,""longitude"":13.636737715518063}","{""latitude"":56.0831908862089,""longitude"":13.859255021178146}",14848.165330351178,43,50,0.0,8892.300000000014,8892.300000000014,0.0,1684508791715,
23189c220b1,1684508791737,"{""latitude"":57.504134543129915,""longitude"":14.725457017292868}","{""latitude"":57.141006200280444,""longitude"":12.586328884744372}",18009.221998079393,43,50,54.48131235887708,13136.316816592645,12087.95993900751,58.330601732747795,1684508828489,
32974c12fa6,1684508828519,"{""latitude"":58.86945997637765,""longitude"":15.0022203047928}","{""latitude"":56.44506315196795,""longitude"":14.619086959168023}",40958.67894509696,43,50,,,,,,
8de6775b2be,1684510442305,"{""latitude"":57.1227500915947,""longitude"":16.243569908131896}","{""latitude"":59.25272243526946,""longitude"":12.934942085268723}",50466.03390107095,43,50,209.4773195396882,30524.404710401846,30201.226724562875,252.27104208906633,1684510855133,
f0ad7e04ab3,1684510855216,"{""latitude"":58.68774173925157,""longitude"":12.971145295193923}","{""latitude"":60.16489430028801,""longitude"":18.227306948557562}",48107.73444875901,43,50,184.10178970537072,26593.13185845486,,,,
c4317e0554f,1684513562253,"{""latitude"":57.1227500915947,""longitude"":16.243569908131896}","{""latitude"":59.25272243526946,""longitude"":12.934942085268723}",50466.03390107095,43,50,209.4773195396882,30524.404710401846,30201.226724562875,252.27104208906633,1684513968474,
cdbe6e32b6b,1684513968603,"{""latitude"":58.68774173925157,""longitude"":12.971145295193923}","{""latitude"":60.16489430028801,""longitude"":18.227306948557562}",48107.73444875901,43,50,184.10178970537072,26593.13185845486,,,,
3f2ec5297a0,1684516621767,"{""latitude"":59.90097734131084,""longitude"":17.888958742801982}","{""latitude"":56.32525665191964,""longitude"":14.718928304409953}",75412.73361311952,43,50,,,,,,
279e6e98af8,1684518482259,"{""latitude"":57.4109099825183,""longitude"":16.60574966623343}","{""latitude"":59.6396775776062,""longitude"":14.694805893122714}",38405.63279003421,43,50,144.3712188210904,25457.954436401196,24714.237817018107,151.86649092998385,1684518616225,
34b69238d01,1684518616312,"{""latitude"":59.90097734131084,""longitude"":17.888958742801982}","{""latitude"":56.32525665191964,""longitude"":14.718928304409953}",75412.73361311952,43,50,,,,,,
6f675ac7654,1684520642458,"{""latitude"":58.87983617321384,""longitude"":11.42489125944721}","{""latitude"":58.15710845728508,""longitude"":14.611305944899431}",37933.76996531572,43,50,142.7211988886221,23420.94389937006,21302.631112530777,146.75450115220428,1684520832007,
1653fa0e468,1684520832070,"{""latitude"":57.82467629271389,""longitude"":13.23118914234707}","{""latitude"":56.45818042638297,""longitude"":13.61755410141367}",28657.596364839497,43,50,79.78359227062361,12151.491281312099,10766.171668908299,89.8660986285239,1684520950889,
557425455a3,1684520950917,"{""latitude"":57.281905670586255,""longitude"":15.039412489067782}","{""latitude"":55.652646838450586,""longitude"":13.830106933473598}",26795.42204469677,43,50,99.7737943488186,18376.264576603906,16996.248682848433,107.57206468245509,1684521014064,
6f22f7a5a7a,1684521014101,"{""latitude"":57.28329722471752,""longitude"":12.756883513788981}","{""latitude"":60.38014784782576,""longitude"":13.197936328216535}",47351.06341332149,43,50,,,,,,
29d5f77263e,1684522561642,"{""latitude"":59.77036488708487,""longitude"":18.84278795499393}","{""latitude"":56.193945448661616,""longitude"":15.689386622959313}",65810.08404238177,43,50,,,,,,
38f9e451a3d,1684524181587,"{""latitude"":57.28329722471752,""longitude"":12.756883513788981}","{""latitude"":60.38014784782576,""longitude"":13.197936328216535}",47351.06341332149,43,50,,,,,,
1e1fe137b36,1684525562393,"{""latitude"":59.77036488708487,""longitude"":18.84278795499393}","{""latitude"":56.193945448661616,""longitude"":15.689386622959313}",65810.08404238177,43,50,,,,,,
1143232a756,1684527241734,"{""latitude"":59.49735562348517,""longitude"":13.107836573460197}","{""latitude"":56.19350913150211,""longitude"":15.492053969108767}",58645.56963122321,43,50,,,,,,
4e99c55d8f5,1684528562353,"{""latitude"":58.527419734823,""longitude"":14.089702398889122}","{""latitude"":57.12447805469859,""longitude"":13.279487809817692}",21095.188832985383,43,50,85.84360682103923,15460.892244688328,14444.792471216568,85.84998384702259,1684528586474,
d5ed5bf3f14,1684528586512,"{""latitude"":58.47480577851179,""longitude"":16.507485785597652}","{""latitude"":57.520683302330866,""longitude"":13.357985134022314}",32430.039626176163,43,50,86.06443872451415,16826.395201515377,14609.034046543156,88.26281020476097,1684529867393,
029dd49c81b,1684529870015,"{""latitude"":59.49735562348517,""longitude"":13.107836573460197}","{""latitude"":56.19350913150211,""longitude"":15.492053969108767}",58645.56963122321,43,50,,,,,,
d04cdc4b25b,1684531442212,"{""latitude"":58.47480577851179,""longitude"":16.507485785597652}","{""latitude"":57.520683302330866,""longitude"":13.357985134022314}",32430.039626176163,43,50,86.06443872451415,16826.395201515377,14609.034046543156,88.26281020476097,1684532503697,
9dde2a1bb97,1684532809004,"{""latitude"":59.37814746925627,""longitude"":16.06057961334547}","{""latitude"":59.277764968058335,""longitude"":15.591693425907813}",8210.152087652054,43,50,0.0,6135.199999999987,6135.199999999987,0.0,1684532886506,
89d6fe974e4,1684532886529,"{""latitude"":59.40533605245715,""longitude"":12.285694176420428}","{""latitude"":59.53639326932574,""longitude"":14.061826320683263}",16225.481399777227,43,50,0.0,8638.39999999999,8638.39999999999,0.0,1684532987232,
0793d765a15,1684532987265,"{""latitude"":57.219541000333926,""longitude"":14.973121626798704}","{""latitude"":56.37948906272959,""longitude"":13.25345686103382}",21540.96716741986,43,50,49.58423800068411,12448.696619363658,11186.486567805954,53.362477232499735,1684533064807,
b5c9f56e5f7,1684533064832,"{""latitude"":57.04566859493332,""longitude"":12.281371704354571}","{""latitude"":58.797603471636215,""longitude"":12.489618365908683}",26514.214647654786,43,50,,,,,,
4c8c40bdf0d,1684534742457,"{""latitude"":56.6290499481679,""longitude"":14.506973634608714}","{""latitude"":59.97389951350505,""longitude"":12.857075778887966}",54602.565387457835,43,50,,,,,,
b552a153173,1684535881546,"{""latitude"":57.04566859493332,""longitude"":12.281371704354571}","{""latitude"":58.797603471636215,""longitude"":12.489618365908683}",26514.214647654786,43,50,,,,,,
5f34baded1c,1684537322348,"{""latitude"":56.6290499481679,""longitude"":14.506973634608714}","{""latitude"":59.97389951350505,""longitude"":12.857075778887966}",54602.565387457835,43,50,,,,,,
798d0a3b967,1684538461939,"{""latitude"":60.50803718822962,""longitude"":17.925174859217606}","{""latitude"":59.49479862325933,""longitude"":17.469814569245084}",18066.79951099951,43,50,0.0,10034.900000000014,10034.900000000014,0.0,1684538530550,
4266640b84d,1684538530600,"{""latitude"":56.904588619735904,""longitude"":12.839066434587265}","{""latitude"":59.176880460256044,""longitude"":15.469829740858394}",42193.12598754709,43,50,162.93525369018502,24507.977800006083,21625.619316719985,169.1020390181991,1684539220410,
1f645468532,1684539222102,"{""latitude"":59.96925181503942,""longitude"":16.03919681878315}","{""latitude"":59.265971705405725,""longitude"":13.855825317367586}",26002.18494705504,43,50,50.877605522276866,13821.712110653447,13054.144927526508,54.930904345627816,1684539378133,
bad1dbe75b7,1684539378176,"{""latitude"":56.904588619735904,""longitude"":12.839066434587265}","{""latitude"":59.176880460256044,""longitude"":15.469829740858394}",42193.12598754709,43,50,162.93525369018502,24507.977800006083,21625.619316719985,169.1020390181991,1684540023156,
dc79d6e5da7,1684540024122,"{""latitude"":59.47395241905886,""longitude"":15.675762060510014}","{""latitude"":59.808470835038044,""longitude"":18.765144567098375}",27555.865122464314,43,50,53.095542703547956,14369.037611069714,12696.04002011647,58.389027018664265,1684540542516,
